year,Item_EN,Item_AR,Type_EN,Type_AR,USD_Million
2011,     Free Zone Exports,     صادرات المناطق الحرة,Debit,مدين,nan
2011,     Re Exports,     إعادة التصدير,Debit,مدين,nan
2011,Total Imports ( CIF ),جملة الواردات السلعية (CIF):,Debit,مدين,229931.92648059907
2011,Emirates Imports - CIF,     واردات الإمارات (CIF),Debit,مدين,169627.501701838
2011,Free Zone Imports  - CIF,     واردات المناطق الحرة (CIF),Debit,مدين,60304.424778761066
2011,Total Imports ( FOB ),إجمالى الواردات (FOB),Debit,مدين,195442.0694349898
2011,"Total imports, service",جملة الواردات الخدمية,Debit,مدين,56518.44792375766
2011,Total imports of goods and services (CIF),إجمالى الواردات السلعية والخدمية (CIF),Debit,مدين,286450.3744043567
2011,Services ( NET ),الخدمات (صافى),Debit,مدين,nan
2011,     Services,     الخدمات  ,Debit,مدين,56518.44792375766
2011,     Travel,     السياحة,Debit,مدين,13206.262763784887
2011,     Transport,     النقل,Debit,مدين,8005.445881552077
2011,Government Services,الخدمات الحكومية(نفقات البعثات الدبلوماسية ),Debit,مدين,816.8822328114363
2011,Other Services,خدمات أخرى,Debit,مدين,nan
2011,Fright and Insurance,نفقات الشحن والتأمين,Debit,مدين,34489.85704560926
2011,Investment Income  ( NET ),دخل الإستثمارات (صافى),Debit,مدين,nan
2011,     Financial Entities + Pvt. non banks,     الكيانات المالية,Debit,مدين,nan
2011,     Foreign Partners(Hydrocarbon Comps.),     الشركاء الأجانب,Debit,مدين,6710.959836623554
2011,Transfers ( NET ),تحويلات (صافية),Debit,مدين,nan
2011,     Private,     خاصة,Debit,مدين,11218.51599727706
2011,     Public,     عامة,Debit,مدين,816.8822328114363
2011,Current Account Balance ,ميزان الحساب الجارى,Debit,مدين,nan
2012,Trade Balance (CIF),الميزان التجارى(CIF),Credit,دائن,103201.36147038802
2012,Trade Balance (FOB),الميزان التجارى (FOB),Credit,دائن,141680.32675289313
2012,Total Exports & Re Exports,إجمالى الصادرات السلعية وإعادة التصدير,Credit,دائن,359727.161334241
2012,Total exports of goods and services:,إجمالى الصادرات السلعية والخدمية:,Credit,دائن,375797.957794418
2012,Crude Oil Exports,     النفط الخام,Credit,دائن,103095.98366235534
2012,     Petroleum Products Exports,     المنتجات النفطية,Credit,دائن,9622.055820285908
2012,     Gas Exports,     الغاز,Credit,دائن,13641.933287950988
2012,     Other Exports,     صادرات أخرى,Credit,دائن,46211.30020422056
2012,     Free Zone Exports,     صادرات المناطق الحرة,Credit,دائن,53762.55956432948
2012,     Re Exports,     إعادة التصدير,Credit,دائن,133393.3287950987
2012,Total Imports ( CIF ),جملة الواردات السلعية (CIF):,Credit,دائن,nan
2012,Emirates Imports - CIF,     واردات الإمارات (CIF),Credit,دائن,nan
2012,Free Zone Imports  - CIF,     واردات المناطق الحرة (CIF),Credit,دائن,nan
2012,Total Imports ( FOB ),إجمالى الواردات (FOB),Credit,دائن,nan
2012,"Total imports, service",جملة الواردات الخدمية,Credit,دائن,nan
2012,Total imports of goods and services (CIF),إجمالى الواردات السلعية والخدمية (CIF),Credit,دائن,nan
2012,Services ( NET ),الخدمات (صافى),Credit,دائن,-47173.587474472435
2012,     Services,     الخدمات  ,Credit,دائن,16070.79646017699
2012,     Travel,     السياحة,Credit,دائن,10924.438393464943
2012,     Transport,     النقل,Credit,دائن,4356.705241660994
2012,Government Services,الخدمات الحكومية(نفقات البعثات الدبلوماسية ),Credit,دائن,789.6528250510552
2012,Other Services,خدمات أخرى,Credit,دائن,nan
2012,Fright and Insurance,نفقات الشحن والتأمين,Credit,دائن,nan
2012,Investment Income  ( NET ),دخل الإستثمارات (صافى),Credit,دائن,297.34513274336285
2012,     Financial Entities + Pvt. non banks,     الكيانات المالية,Credit,دائن,7351.940095302927
2012,     Foreign Partners(Hydrocarbon Comps.),     الشركاء الأجانب,Credit,دائن,nan
2012,Transfers ( NET ),تحويلات (صافية),Credit,دائن,-15240.299523485364
2012,     Private,     خاصة,Credit,دائن,nan
2012,     Public,     عامة,Credit,دائن,nan
2012,Current Account Balance ,ميزان الحساب الجارى,Credit,دائن,79563.7848876787
2012,Trade Balance (CIF),الميزان التجارى(CIF),Debit,مدين,nan
2012,Trade Balance (FOB),الميزان التجارى (FOB),Debit,مدين,nan
2012,Total Exports & Re Exports,إجمالى الصادرات السلعية وإعادة التصدير,Debit,مدين,nan
2012,Total exports of goods and services:,إجمالى الصادرات السلعية والخدمية:,Debit,مدين,nan
2012,Crude Oil Exports,     النفط الخام,Debit,مدين,nan
2012,     Petroleum Products Exports,     المنتجات النفطية,Debit,مدين,nan
2012,     Gas Exports,     الغاز,Debit,مدين,nan
2012,     Other Exports,     صادرات أخرى,Debit,مدين,nan
2012,     Free Zone Exports,     صادرات المناطق الحرة,Debit,مدين,nan
2012,     Re Exports,     إعادة التصدير,Debit,مدين,nan
2012,Total Imports ( CIF ),جملة الواردات السلعية (CIF):,Debit,مدين,256525.79986385297
2012,Emirates Imports - CIF,     واردات الإمارات (CIF),Debit,مدين,187806.3989108237
